"Product Downloads","Téléchargements"
"Log Id","Id"
"Title","Nom"
"File","Fichier"
"SKU","SKU"
"Customer","Client"
"Edit Customer","Modifier les données client"
"Edit Product","Modifier le produit"
"User Agent","User Agent"
"IP","IP"
"Date","Date"
